12024-07-11 23:31:16,427 - INFO - Watching for file changes with StatReloader
2024-07-11 23:31:16,428 - DEBUG - Waiting for apps ready_event.
2024-07-11 23:31:16,769 - DEBUG - Apps ready_event triggered. Sending autoreload_started signal.
2024-07-11 23:31:16,816 - DEBUG - Watching dir C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\allauth\templates with glob **/*.
2024-07-11 23:31:16,817 - DEBUG - Watching dir C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\rest_framework\templates with glob **/*.
2024-07-11 23:31:16,817 - DEBUG - Watching dir C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\locale with glob **/*.mo.
2024-07-11 23:31:16,818 - DEBUG - Watching dir C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\rest_framework\locale with glob **/*.mo.
2024-07-11 23:31:16,818 - DEBUG - Watching dir C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\rest_framework\authtoken\locale with glob **/*.mo.
2024-07-11 23:31:16,820 - DEBUG - Watching dir C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\dj_rest_auth\locale with glob **/*.mo.
2024-07-11 23:31:16,821 - DEBUG - Watching dir C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\dj_rest_auth\registration\locale with glob **/*.mo.
2024-07-11 23:31:16,821 - DEBUG - Watching dir C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\allauth\locale with glob **/*.mo.
2024-07-11 23:31:16,822 - DEBUG - Watching dir C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\allauth\account\locale with glob **/*.mo.
2024-07-11 23:31:16,824 - DEBUG - Watching dir C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\allauth\socialaccount\locale with glob **/*.mo.
2024-07-11 23:31:16,824 - DEBUG - Watching dir C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\corsheaders\locale with glob **/*.mo.
2024-07-11 23:31:16,825 - DEBUG - Watching dir C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\base\locale with glob **/*.mo.
2024-07-11 23:31:16,949 - DEBUG - (0.000) 
                SELECT VERSION(),
                       @@sql_mode,
                       @@default_storage_engine,
                       @@sql_auto_is_null,
                       @@lower_case_table_names,
                       CONVERT_TZ('2001-01-01 01:00:00', 'UTC', 'UTC') IS NOT NULL
            ; args=None; alias=default
2024-07-11 23:31:16,951 - DEBUG - (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None; alias=default
2024-07-11 23:31:16,961 - DEBUG - (0.000) SHOW FULL TABLES; args=None; alias=default
2024-07-11 23:31:16,969 - DEBUG - (0.000) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=(); alias=default
2024-07-11 23:31:17,374 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\django\views\generic\edit.py first seen with mtime 1715685381.880787
2024-07-11 23:31:17,374 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\django\forms\boundfield.py first seen with mtime 1715685381.5617597
2024-07-11 23:31:17,375 - DEBUG - File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\importlib\metadata\_adapters.py first seen with mtime 1694627234.6193635
2024-07-11 23:31:17,375 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\urllib3\contrib\__init__.py first seen with mtime 1715683748.0365512
2024-07-11 23:31:17,376 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\django\core\checks\caches.py first seen with mtime 1715685381.3360262
2024-07-11 23:31:17,376 - DEBUG - File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\collections\abc.py first seen with mtime 1694627233.8952873
2024-07-11 23:31:17,377 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\django\utils\safestring.py first seen with mtime 1715685381.8416462
2024-07-11 23:31:17,377 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\charset_normalizer\cd.py first seen with mtime 1715683752.8823974
2024-07-11 23:31:17,379 - DEBUG - File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\ssl.py first seen with mtime 1707495838.006194
