,_id,index,name,equipment_category,gear_category,cost,weight,url,desc,tool_category,vehicle_category,quantity,weapon_category,weapon_range,category_range,damage,range,properties,2h_damage,armor_category,armor_class,str_minimum,stealth_disadvantage,contents,speed,capacity,throw_range,special
0,5f2329a90b1bb138c5940de2,abacus,Abacus,"{'name': 'Adventuring Gear', 'url': '/api/equipment-categories/adventuring-gear'}",Standard Gear,"{'quantity': 2, 'unit': 'gp'}",2.0,/api/equipment/abacus,,,,,,,,,,,,,,,,,,,,
1,5f2329a90b1bb138c5940de3,acid-vial,Acid (vial),"{'name': 'Adventuring Gear', 'url': '/api/equipment-categories/adventuring-gear'}",Standard Gear,"{'quantity': 25, 'unit': 'gp'}",1.0,/api/equipment/acid-vial,"['As an action, you can splash the contents of this vial onto a creature within 5 feet of you or throw the vial up to 20 feet, shattering it on impact. In either case, make a ranged attack against a creature or object, treating the acid as an improvised weapon.', 'On a hit, the target takes 2d6 acid damage.']",,,,,,,,,,,,,,,,,,,
2,5f2329a90b1bb138c5940de4,alchemists-fire-flask,Alchemist's fire (flask),"{'name': 'Adventuring Gear', 'url': '/api/equipment-categories/adventuring-gear'}",Standard Gear,"{'quantity': 50, 'unit': 'gp'}",1.0,/api/equipment/alchemists-fire-flask,"['This sticky, adhesive fluid ignites when exposed to air.', ""As an action, you can throw this flask up to 20 feet, shattering it on impact. Make a ranged attack against a creature or object, treating the alchemist's fire as an improvised weapon."", 'On a hit, the target takes 1d4 fire damage at the start of each of its turns. A creature can end this damage by using its action to make a DC 10 Dexterity check to extinguish the flames.']",,,,,,,,,,,,,,,,,,,
3,5f2329a90b1bb138c5940e51,alchemists-supplies,Alchemist's supplies,"{'name': 'Tools', 'url': '/api/equipment-categories/tools'}",,"{'quantity': 50, 'unit': 'gp'}",8.0,/api/equipment/alchemists-supplies,"[""These special tools include the items needed to pursue a craft or trade. The table shows examples of the most common types of tools, each providing items related to a single craft. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.""]",Artisan's Tools,,,,,,,,,,,,,,,,,,
4,5f2329a90b1bb138c5940dea,amulet,Amulet,"{'name': 'Adventuring Gear', 'url': '/api/equipment-categories/adventuring-gear'}",Holy Symbol,"{'quantity': 5, 'unit': 'gp'}",1.0,/api/equipment/amulet,"['A holy symbol is a representation of a god or pantheon. It might be an amulet depicting a symbol representing a deity, the same symbol carefully engraved or inlaid as an emblem on a shield, or a tiny box holding a fragment of a sacred relic.', 'Appendix B lists the symbols commonly associated with many gods in the multiverse. A cleric or paladin can use a holy symbol as a spellcasting focus. To use the symbol in this way, the caster must hold it in hand, wear it visibly, or bear it on a shield.']",,,,,,,,,,,,,,,,,,,
5,5f2329a90b1bb138c5940e88,animal-feed-1-day,Animal Feed (1 day),"{'name': 'Mounts and Vehicles', 'url': '/api/equipment-categories/mounts-and-vehicles'}",,"{'quantity': 5, 'unit': 'cp'}",10.0,/api/equipment/animal-feed-1-day,,,"Tack, Harness, and Drawn Vehicles",,,,,,,,,,,,,,,,,
6,5f2329a90b1bb138c5940de9,antitoxin-vial,Antitoxin (vial),"{'name': 'Adventuring Gear', 'url': '/api/equipment-categories/adventuring-gear'}",Standard Gear,"{'quantity': 50, 'unit': 'gp'}",0.0,/api/equipment/antitoxin-vial,['A creature that drinks this vial of liquid gains advantage on saving throws against poison for 1 hour. It confers no benefit to undead or constructs.'],,,,,,,,,,,,,,,,,,,
7,5f2329a90b1bb138c5940de5,arrow,Arrow,"{'name': 'Adventuring Gear', 'url': '/api/equipment-categories/adventuring-gear'}",Ammunition,"{'quantity': 1, 'unit': 'gp'}",1.0,/api/equipment/arrow,,,,20.0,,,,,,,,,,,,,,,,
8,5f2329a90b1bb138c5940def,backpack,Backpack,"{'name': 'Adventuring Gear', 'url': '/api/equipment-categories/adventuring-gear'}",Standard Gear,"{'quantity': 2, 'unit': 'gp'}",5.0,/api/equipment/backpack,,,,,,,,,,,,,,,,,,,,
9,5f2329a90b1bb138c5940e63,bagpipes,Bagpipes,"{'name': 'Tools', 'url': '/api/equipment-categories/tools'}",,"{'quantity': 30, 'unit': 'gp'}",6.0,/api/equipment/bagpipes,"['Several of the most common types of musical instruments are shown on the table as examples. If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.']",Musical Instrument,,,,,,,,,,,,,,,,,,
